"army","corps","division","brigade","type","state","numUnits"
"Confederate","Ewell","Brown","Dance","Artillery","Virginia",5
"Confederate","Ewell","Brown","Nelson","Artillery","Georgia",1
"Confederate","Ewell","Brown","Nelson","Artillery","Virginia",2
"Confederate","Ewell","Early","Gordon","Infantry","Georgia",6
"Confederate","Ewell","Early","Hays","Infantry","Louisiana",5
"Confederate","Ewell","Early","Hoke","Infantry","North Carolina",3
"Confederate","Ewell","Early","Jones","Artillery","Louisiana",1
"Confederate","Ewell","Early","Jones","Artillery","Virginia",3
"Confederate","Ewell","Early","Smith","Infantry","Virginia",3
"Confederate","Ewell","Johnson","Jones","Infantry","Virginia",6
"Confederate","Ewell","Johnson","Latimer","Artillery","Maryland",2
"Confederate","Ewell","Johnson","Latimer","Artillery","Virginia",2
"Confederate","Ewell","Johnson","Nicholls","Infantry","Louisiana",5
"Confederate","Ewell","Johnson","Steuart","Infantry","Maryland",1
"Confederate","Ewell","Johnson","Steuart","Infantry","North Carolina",2
"Confederate","Ewell","Johnson","Steuart","Infantry","Virginia",3
"Confederate","Ewell","Johnson","Walker","Infantry","Virginia",5
"Confederate","Ewell","Rodes","Carter","Artillery","Alabama",1
"Confederate","Ewell","Rodes","Carter","Artillery","Virginia",3
"Confederate","Ewell","Rodes","Daniel","Infantry","North Carolina",5
"Confederate","Ewell","Rodes","Doles","Infantry","Georgia",4
"Confederate","Ewell","Rodes","Iverson","Infantry","North Carolina",4
"Confederate","Ewell","Rodes","Oneal","Infantry","Alabama",5
"Confederate","Ewell","Rodes","Ramseur","Infantry","North Carolina",4
"Confederate","Hill","Anderson","Lane","Artillery","South Carolina",3
"Confederate","Hill","Anderson","Lang","Infantry","Florida",3
"Confederate","Hill","Anderson","Mahone","Infantry","Virginia",5
"Confederate","Hill","Anderson","Posey","Infantry","Mississippi",4
"Confederate","Hill","Anderson","Wilcox","Infantry","Alabama",5
"Confederate","Hill","Anderson","Wright","Infantry","Georgia",4
"Confederate","Hill","Heth","Archer","Infantry","Alabama",2
"Confederate","Hill","Heth","Archer","Infantry","Tennessee",3
"Confederate","Hill","Heth","Brockenbrough","Infantry","Virginia",4
"Confederate","Hill","Heth","Davis","Infantry","Mississippi",4
