type,state,regiment,brigade,division,corps,army,men,killed,wounded,captured,missing,total_casualties,3inch_rifles,4.5inch_rifles,10lb_parrots,12lb_howitzers,12lb_napoleons,6lb_howitzers,24lb_howitzers,20lb_parrots,12lb_whitworths,14lb_rifles,Total Guns
Infantry,Indiana,19th,Meredith,Wadsworth,Reynolds,Union,308,33,126,2,52,213,,,,,,,,,,,0
Infantry,Michigan,24th,Meredith,Wadsworth,Reynolds,Union,496,96,186,13,76,371,,,,,,,,,,,0
Infantry,Wisconsin,2nd,Meredith,Wadsworth,Reynolds,Union,302,45,135,18,42,240,,,,,,,,,,,0
Infantry,Wisconsin,6th,Meredith,Wadsworth,Reynolds,Union,344,39,110,3,22,174,,,,,,,,,,,0
Infantry,Wisconsin,7th,Meredith,Wadsworth,Reynolds,Union,364,37,102,3,43,185,,,,,,,,,,,0
Infantry,Indiana,7th,Cutler,Wadsworth,Reynolds,Union,434,2,4,0,3,9,,,,,,,,,,,0
Infantry,New York,76th,Cutler,Wadsworth,Reynolds,Union,375,53,122,6,35,216,,,,,,,,,,,0
Infantry,New York,84th_14thBrooklyn,Cutler,Wadsworth,Reynolds,Union,318,25,94,2,97,218,,,,,,,,,,,0
Infantry,New York,95th,Cutler,Wadsworth,Reynolds,Union,241,11,63,1,42,117,,,,,,,,,,,0
Infantry,New York,147th,Cutler,Wadsworth,Reynolds,Union,380,80,124,9,71,284,,,,,,,,,,,0
Infantry,Pennsylvania,56th,Cutler,Wadsworth,Reynolds,Union,252,21,52,0,56,129,,,,,,,,,,,0
Infantry,Maine,16th,Paul,Robinson,Reynolds,Union,298,25,46,13,157,241,,,,,,,,,,,0
Infantry,Massachusetts,13th,Paul,Robinson,Reynolds,Union,284,24,60,7,105,196,,,,,,,,,,,0
Infantry,New York,94th,Paul,Robinson,Reynolds,Union,411,17,38,21,164,240,,,,,,,,,,,0
Infantry,New York,104th,Paul,Robinson,Reynolds,Union,286,32,73,5,84,194,,,,,,,,,,,0
Infantry,Pennsylvania,107th,Paul,Robinson,Reynolds,Union,255,21,58,1,91,171,,,,,,,,,,,0
Infantry,Massachusetts,12th,Baxter,Robinson,Reynolds,Union,261,13,45,3,66,127,,,,,,,,,,,0
Infantry,New York,83rd_9thMilitia,Baxter,Robinson,Reynolds,Union,199,7,21,2,62,92,,,,,,,,,,,0
Infantry,New York,97th,Baxter,Robinson,Reynolds,Union,236,19,34,5,77,135,,,,,,,,,,,0
Infantry,Pennsylvania,11th,Baxter,Robinson,Reynolds,Union,270,13,62,3,58,136,,,,,,,,,,,0
Infantry,Pennsylvania,88th,Baxter,Robinson,Reynolds,Union,273,10,52,0,48,110,,,,,,,,,,,0
Infantry,Pennsylvania,90th,Baxter,Robinson,Reynolds,Union,208,12,42,0,36,90,,,,,,,,,,,0
Infantry,Pennsylvania,121st,Rowley,Doubleday,Reynolds,Union,263,29,89,5,51,174,,,,,,,,,,,0
Infantry,Pennsylvania,142nd,Rowley,Doubleday,Reynolds,Union,336,46,105,4,68,223,,,,,,,,,,,0
Infantry,Pennsylvania,151st,Rowley,Doubleday,Reynolds,Union,467,80,139,86,82,387,,,,,,,,,,,0
Infantry,New York,80th_20thMilitia,Rowley,Doubleday,Reynolds,Union,287,38,88,22,32,180,,,,,,,,,,,0
