date,recipient,message,sender
"June 4, 1863",Stanton,It has this moment been reported to me that several of the enemy’s camps were removed during last night. Shall be able to determine the direction shortly if this should be found to be the case.,Hooker
"June 4, 1863",Halleck,"Following received from General Buford, June 4:
Nothing noteworthy to report. Yesterday Colonel Duffie’s pickets reported enemy crossing in considerable force at Sulphur Springs. Preparations made to welcome them, but they did not come. Country and river, as high up as Orleans, New Baltimore, and Thoroughfare Gap, visited yesterday and last night. Nothing was seen or heard.
JNO. BUFORD.
The movements of the enemy in our front, do not indicate what their purpose or object may be. , Has General Dix’s force moved to White House or beyond there? His position, strength, and movements may govern or influence the enemy somewhat. I should like to be fully advised.",Hooker
"June 4, 1863",Halleck,"Following from one of our scouts :
I heard from at least three different parties, who I know had the means of obtaining the correct information, that General Jones had come from the Shenandoah Valley; that his headquarters were either in Rappahannock or Culpeper, and not very far distant from Culpeper Court-House, and that this information was obtained from some of his cavalry whose homes were in Fauquier, and who had been over to see their friends.",Hooker
"June 5, 1863",Lincoln,"Yesterday morning appearances indicated that during the night the enemy had broken up a few of his camps and abandoned them. These changes were observed on the right of his line, in the vicinity of Hamilton’s Crossing. So far as I was enabled to judge, from all my means of information, it was impossible for me to determine satisfactorily whether this movement had merely been a change of camps—the enemy had moved in the direction of Richmond or up the river but, taken in connection with the fact that some deserters came in from the divisions of Hood and Pickett, I concluded that those divisions had been brought to the front from their late positions at Gordonsville and Taylorsville, and that this could be for no other purpose but to enable the enemy to move up the river, with a view to the execution of a movement similar to that of Lee’s last year. He must either have it in mind to cross the Upper Potomac, or to throw his army between mine and Washington, in case I am correct in my conjecture. To accomplish either, he must have been greatly reinforced, and if making this movement, the fair presumption is that he has been by the troops from Charleston. Of this I have no evidence further than that furnished me by Major-General Dix, that they had come to Richmond.
This morning some more of their camps have disappeared. The picket line along the river is preserved, and as strong as ever.
General Buford, with three divisions of cavalry and ten pieces of artillery, is on the Orange and Alexandria Railroad, and yesterday was along the river beyond Sulphur Springs, and reports no enemy.
As I am liable to be called on to make a movement with the utmost promptitude, I desire that I may be informed as early as practicable of the views of the Government concerning this army.
Under instructions from the major-general commanding the army, dated January 31, I am instructed to keep “ in view always the importance of covering Washington and Harper’s Ferry, either directly or by so operating as to be able to punish any force of the enemy sent against them.” In the event the enemy should move, as I almost anticipate he will, the head of his column will probably be headed toward the Potomac, via Gordonsville or Culpeper, while the rear will rest on Fredericksburg.
After giving the subject my best reflection, I am of opinion that it is my duty to pitch into his rear, although in so doing the head of his column may reach Warrenton before I can return. Will it be within the spirit of my instructions to do so ?
In view of these contemplated movements of the enemy, I cannot too forcibly impress upon the mind of His Excellency the President the necessity of having one commander for all of the troops whose operations can have an influence on those of Lee’s army. Under the present system, all independent commanders are in ignorance of the movements of the others; at least such is my situation. I trust that I may not be considered in the way to this arrangement, as it is a position I do not desire, and only suggest it, as I feel the necessity for concert as well as vigorous action.
It is necessary for me to say this much that my motives may not be misunderstood.",Hooker
"June 5, 1863",Hooker,"Prisoners and deserters brought in here state that Stuart is preparing a column of from 15,000 to 20,000 men, cavalry and artillery, for a raid. They say it will be ready in two or three days.",Halleck
"June 5, 1863",Hooker,"Yours of today was received an hour ago. So much of professional military skill is requisite to answer it, that I have turned the task over to General Halleck. He promises to perform it with his utmost care. I have but one idea which I think worth suggesting to you, and that is, in case you find Lee coming to the north of the Rappahannock, I would by no means cross to the south of it. If he should leave a rear force at Fredericksburg, tempting you to fall upon it, it would fight in intrenchments and have you at disadvantage, and so, man for man, worst you at that point, while his main force would in some way be getting an advantage of you northward. In one word, I would not take any risk of being entangled upon the river, like an ox jumped half over a fence and liable to be torn by dogs front and rear, without a fair chance to gore one way or kick the other. If Lee would come to my side of the river, I would keep on the same side, and fight him or act on the defense, according as might be my estimate of his strength relatively to my own. But these are mere suggestions, which I desire to be controlled by the judgment of yourself and General Halleck. ",Lincoln
"June 5, 1863",Hooker,"The President has directed me to reply to your telegram to him of 10 .a. m. today. My instructions of January 31,* which were then shown to the President, left you entirely free to act as circumstances, in your judgment, might require, with the simple injunction to keep in view the safety of Washington and Harper’s Ferry. In regard to the contingency which you suppose may arise of General Lee’s leaving a part of his forces in Fredericksburg, while, with the head of his column, he moves by Gordonsville or Culpeper toward the Potomac, it seems to me that such an operation would give you great advantages upon his flank to cut him in two, and fight his divided forces. Would-it not be more advantageous to fight his movable column first, instead of first attacking his intrenchments, with your own forces separated by the Rappahannock ? Moreover, you are aware that the troops under General Heintzelman are much less than the number recommended by all the boards for the defenses of Washington. Neither this capital nor Harpers Ferry could long hold out against a large force. They must depend for their security very much upon the co-operation of your army. It would, therefore, seem perilous to permit Lee’s main force to move upon the Potomac while your army is attacking an intrenched position on the other side of the Rappahannock. Of course your movements must depend in a great measure upon those made by Lee. There is another contingency not altogether improbable—that Lee will seek to hold you in check with his main force, while a strong force will be detached for a raid into Maryland and Pennsylvania. The main force of the enemy in North Carolina have probably come north, but I think all available troops in South Carolina and Georgia have been sent to reinforce Johnston in Mississippi. Such is the information here. General Heintzelman and General Dix are instructed to telegraph directly to you all the movements which they may ascertain or make. Directions have also been given to forward military information which may be received from General Schenck’s command. Any movements you may suggest of troops in these commands will be ordered, if deemed practicable. Lee will probably move light and rapidly. Your movable force should be prepared to do the same.
The foregoing views are approved by the President.",Halleck
"June 5, 1863",Lincoln,"Mr. President : I should very much like to have Captain [Tred-well] Moore ordered to this army.
Since writing this* morning, I concluded to make a demonstration on the enemy by throwing a couple of bridges across the river at Franklin’s Crossing, and to learn, if possible, what the enemy are about. As soon as we got to work, they began to assemble in great numbers from all quarters, and the more remote are still arriving,
I took about 50 prisoners, and they report that the changes remarked in their camps proceeded from the reorganization of their army, and the assignments of them to new camps. All of Longstreet’s command are now with Lee, but no part of the Charleston forces. They have no infantry force higher up the Rappahannock than its junction with the Rapidan. Their cavalry is assembled around Culpeper, but the threat to make a crossing may cause them to return. I shall keep my bridges down a few days.",Hooker
"June 6, 1863",Halleck,"As the accumulation of the heavy rebel force of cavalry about Culpeper may mean mischief, I am determined, if practicable, to break it up in its incipiency. I shall send all my cavalry against them, stiffened by about 3,000 infantry. It will require until the morning of the 9th for my forces to gain their positions, and at daylight on that day it is my intention to attack them in their camps. As many of my cavalry are still unserviceable from the effects of Stoneman’s raid, I am too weak to cope with the numbers of the enemy if as large as represented. It would add much to my efficiency if some of Stahel’s forces could advance, and hold the fords at Beverly and Sulphur Springs some time during the forenoon of the 9th. If this should be done, I desire that the officer in command should not be informed of the object of his march, but merely to hold these fords. It is next to impossible to confine information to its proper limits.
I have 2,500 sabers on a reconnaissance today in the vicinity of Jefferson. Jones’ brigade, which has been hovering about Milroy all winter, numbering 1,600, is among them; also an additional brigade from North Carolina.",Hooker
"June 6, 1863",Halleck,"I request that I may be informed whether or not I am to receive assistance in my attack on the rebel forces at Culpeper from any portion of Major-General Heintzelman’s forces, and, if so, what?",Hooker
